location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,population,cases_per_million,deaths_per_million,vax_per_hundred,cfr
USA,2020-01-05,146144,146144,1607,1607,0,331000000,441.5,4.9,0.0,1.1
USA,2020-01-12,315257,169113,3467,1860,0,331000000,952.4,10.5,0.0,1.1
USA,2020-01-19,509040,193783,5599,2132,0,331000000,1537.9,16.9,0.0,1.1
USA,2020-01-26,728929,219889,8018,2419,0,331000000,2202.2,24.2,0.0,1.1
USA,2020-02-02,976028,247099,10736,2718,0,331000000,2948.7,32.4,0.0,1.1
USA,2020-02-09,1251031,275003,13761,3025,0,331000000,3779.5,41.6,0.0,1.1
USA,2020-02-16,1554167,303136,17095,3334,0,331000000,4695.4,51.6,0.0,1.1
USA,2020-02-23,1885151,330984,20736,3641,0,331000000,5695.3,62.6,0.0,1.1
USA,2020-03-01,2243164,358013,24674,3938,0,331000000,6776.9,74.5,0.0,1.1
USA,2020-03-08,2626841,383677,28895,4221,0,331000000,7936.1,87.3,0.0,1.1
USA,2020-03-15,3034300,407459,33377,4482,0,331000000,9167.1,100.8,0.0,1.1
USA,2020-03-22,3463187,428887,38095,4718,0,331000000,10462.8,115.1,0.0,1.1
USA,2020-03-29,3910748,447561,43018,4923,0,331000000,11814.9,130.0,0.0,1.1
USA,2020-04-05,4373926,463178,48113,5095,0,331000000,13214.3,145.4,0.0,1.1
USA,2020-04-12,4849478,475552,53344,5231,0,331000000,14651.0,161.2,0.0,1.1
USA,2020-04-19,5334101,484623,58675,5331,0,331000000,16115.1,177.3,0.0,1.1
USA,2020-04-26,5824571,490470,64070,5395,0,331000000,17596.9,193.6,0.0,1.1
USA,2020-05-03,6317886,493315,69496,5426,0,331000000,19087.3,210.0,0.0,1.1
USA,2020-05-10,6811387,493501,74925,5429,0,331000000,20578.2,226.4,0.0,1.1
USA,2020-05-17,7302888,491501,80331,5406,0,331000000,22063.1,242.7,0.0,1.1
USA,2020-05-24,7790764,487876,85698,5367,0,331000000,23537.1,258.9,0.0,1.1
USA,2020-05-31,8274028,483264,91014,5316,0,331000000,24997.1,275.0,0.0,1.1
USA,2020-06-07,8752374,478346,96276,5262,0,331000000,26442.2,290.9,0.0,1.1
USA,2020-06-14,9226186,473812,101488,5212,0,331000000,27873.7,306.6,0.0,1.1
USA,2020-06-21,9696520,470334,106661,5173,0,331000000,29294.6,322.2,0.0,1.1
USA,2020-06-28,10165049,468529,111815,5154,0,331000000,30710.1,337.8,0.0,1.1
USA,2020-07-05,10633987,468938,116973,5158,0,331000000,32126.8,353.4,0.0,1.1
USA,2020-07-12,11105986,471999,122165,5192,0,331000000,33552.8,369.1,0.0,1.1
USA,2020-07-19,11584011,478025,127424,5259,0,331000000,34997.0,385.0,0.0,1.1
